HOH,Energía,Dipole_X,Dipole_Y,Dipole_Z,dif_distancia
60.0,0.06471964716911316,0.0027316804,0.49538827,0.0,0.3
70.0,0.1091843768954277,-0.0065151537,0.47555298,0.0,0.3
80.0,0.08395522832870483,-0.016242491,0.45338592,0.0,0.3
90.0,0.06656716018915176,-0.027952073,0.42930868,0.0,0.3
100.0,0.055858250707387924,-0.04202997,0.40272692,0.0,0.3
110.0,0.051083363592624664,-0.05761432,0.37260354,0.0,0.3
120.0,0.051487620919942856,-0.07373573,0.3380418,0.0,0.3
130.0,0.05620114877820015,-0.09040106,0.2983479,0.0,0.3
140.0,0.06423164904117584,-0.108381644,0.25268513,0.0,0.3
150.0,0.07433408498764038,-0.12774028,0.19996499,0.0,0.3
160.0,0.08499950170516968,-0.14643082,0.1394616,0.0,0.3
60.0,0.09453240782022476,0.005186308,0.49481037,0.0,0.39999998
70.0,0.15143567323684692,-0.00806923,0.47514537,0.0,0.39999998
80.0,0.12726886570453644,-0.021825463,0.4535025,0.0,0.39999998
90.0,0.11062400043010712,-0.037793275,0.43012142,0.0,0.39999998
100.0,0.10042159259319305,-0.056410104,0.40416947,0.0,0.39999998
110.0,0.09599578380584717,-0.07668627,0.37449318,0.0,0.39999998
120.0,0.09666110575199127,-0.09761553,0.34025007,0.0,0.39999998
130.0,0.10155195742845535,-0.11945728,0.30085412,0.0,0.39999998
140.0,0.10972070693969727,-0.14334194,0.25545928,0.0,0.39999998
150.0,0.11998365819454193,-0.169299,0.20278788,0.0,0.39999998
160.0,0.13084819912910461,-0.1944621,0.1418613,0.0,0.39999998
60.0,0.14060188829898834,0.008533533,0.49287236,0.0,0.50000006
70.0,0.21409650146961212,-0.009399309,0.47412246,0.0,0.50000006
80.0,0.1911603808403015,-0.027742324,0.4535247,0.0,0.50000006
90.0,0.17545385658740997,-0.04819858,0.4311489,0.0,0.50000006
100.0,0.16587217152118683,-0.07120005,0.40596277,0.0,0.50000006
110.0,0.16183409094810486,-0.095749505,0.3767635,0.0,0.50000006
120.0,0.16280323266983032,-0.12101735,0.3428407,0.0,0.50000006
130.0,0.16791224479675293,-0.1476999,0.30377033,0.0,0.50000006
140.0,0.1762429177761078,-0.1773605,0.25869817,0.0,0.50000006
150.0,0.18671005964279175,-0.20995666,0.20610657,0.0,0.50000006
160.0,0.19784598052501678,-0.24170777,0.14469878,0.0,0.50000006
